template,name,id,ticker,currency,isin,fiscal_period,fiscal_year,report_date,ttm,restated,data_model,gross_profit_margin,operating_margin,ebitda,earnings_per_share_basic,earnings_per_share_diluted,sales_per_share,equity_per_share,net_profit_margin,free_cash_flow,free_cash_flow_per_share,free_cash_flow_to_net_income,dividends_per_share,current_ratio,piotroski_f_score,cash_return_on_invested_capital,dividend_payout_ratio,net_debt_ebitda,net_debt_ebit,return_on_invested_capital,liabilities_to_equity_ratio,net_income_adjusted,net_profit_margin_adjusted,return_on_equity_adjusted,return_on_assets_adjusted,free_cash_flow_to_net_income_adjusted,return_on_invested_capital_adjusted,debt_ratio,total_debt,return_on_equity,return_on_assets
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q2,2020,2020-06-30,FALSE,TRUE,0,0.7951,0.3191,7667000000,1.81684,1.79854,6.55684,38.75333,0.27709,408000000,0.14316,0.07879,NA,6.02494,4,0.00318,NA,-7.59619,-9.7669,0.04033,0.26478,5178000000,0.27709,0.04688,0.03707,0.07879,0.04033,0,0,0.04688,0.03707
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q1,2020,2020-03-31,FALSE,TRUE,0,0.80498,0.33224,7490000000,1.7194,1.70921,6.22133,36.93581,0.27637,7575000000,2.65696,1.54529,NA,4.6021,5,0.06143,NA,-8.04927,-10.23061,0.03976,0.31401,4902000000,0.27637,0.04655,0.03543,1.54529,0.03976,0,0,0.04655,0.03543
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q4,2019,2019-12-31,FALSE,TRUE,0,0.83441,0.42017,10326000000,2.57769,2.54643,7.3946,35.44511,0.34859,7438000000,2.60891,1.01211,NA,4.39946,4,0.06286,NA,-5.31232,-6.19271,0.06211,0.31985,7349000000,0.34859,0.07272,0.0551,1.01211,0.06211,0,0,0.07272,0.0551
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q3,2019,2019-09-30,FALSE,TRUE,0,0.82126999999999994,0.40704,8601000000,2.1342,2.11935,6.185,32.93588,0.34506,6654000000,2.33146,1.09243,NA,4.65779,5,0.0599,NA,-6.07708,-7.27474,0.05483,0.32361,6091000000,0.34506,0.0648,0.04896,1.09243,0.05483,0,0,0.0648,0.04896
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q2,2019,2019-06-30,FALSE,TRUE,0,0.80416,0.27395,6128000000,0.91629,0.90991,5.91454,31.09002,0.15492,7897000000,2.76602,3.01873,NA,4.46575,5,0.07591,NA,-7.93016,-10.50497,0.02515,0.3182,2616000000,0.15492,0.02947,0.02236,3.01873,0.02515,0,0,0.02947,0.02236
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q1,2019,2019-03-31,FALSE,TRUE,0,0.81323,0.22,4672000000,0.85049,0.84664,5.27906,30.29272,0.16111,6213000000,2.17542,2.55784,NA,5.37949,5,0.0624,NA,-9.68386,-13.63973,0.0244,0.2654,2429000000,0.16111,0.02808,0.02219,2.55784,0.0244,0,0,0.02808,0.02219
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q4,2018,2018-12-31,FALSE,TRUE,0,0.83469,0.46234,9045000000,2.39388,2.37569,5.88518,29.27175,0.40676,4252000000,1.47947,0.61802,NA,7.19396,6,0.04708,NA,-4.54549,-5.25754,0.07618,0.15699,6880000000,0.40676,0.08178,0.07068,0.61802,0.07618,0,0,0.08178,0.07068
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q3,2018,2018-09-30,FALSE,TRUE,0,0.82385,0.42114,6888000000,1.78059,1.76347,4.75806,27.84818,0.37423,4506000000,1.56187,0.87717,NA,8.99799,5,0.0518,NA,-5.98229,-7.12783,0.05905,0.15073,5137000000,0.37423,0.06394,0.05556,0.87717,0.05905,0,0,0.06394,0.05556
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q2,2018,2018-06-30,FALSE,TRUE,0,0.83267,0.44313,6897000000,1.76373,1.74266,4.57029,27.42038,0.38591,3061000000,1.05734,0.59949,NA,10.67088,6,0.03575,NA,-6.13441,-7.21627,0.05963,0.13742,5106000000,0.38591,0.06432,0.05655,0.59949,0.05963,0,0,0.06432,0.05655
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q1,2018,2018-03-31,FALSE,TRUE,0,0.83896,0.45537,6398000000,1.7161,1.69338,4.11769,26.71025,0.41676,5215000000,1.79456,1.04572,NA,9.91192,5,0.06219,NA,-6.87027,-8.0668,0.05947,0.1459,4987000000,0.41676,0.06425,0.05607,1.04572,0.05947,0,0,0.06425,0.05607
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q4,2017,2017-12-31,FALSE,TRUE,0,0.87581,0.56676,8205000000,1.46717,1.43559,4.45926,25.55758,0.32902,11089000000,3.81196,2.59817,NA,12.91569,6,0.1373,NA,-5.08361,-5.67342,0.05285,0.13689,4268000000,0.32902,0.05741,0.05049,2.59817,0.05285,0,0,0.05741,0.05049
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q3,2017,2017-09-30,FALSE,TRUE,0,0.8598,0.49593,5894000000,1.61983,1.59134,3.55647,24.52066,0.45546,4395000000,1.51343,0.93431,NA,13.37458,7,0.05806,NA,-6.49627,-7.4754,0.06215,0.1094,4704000000,0.45546,0.06606,0.05955,0.93431,0.06215,0,0,0.06606,0.05955
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q2,2017,2017-06-30,FALSE,TRUE,0,0.86729,0.47216,5130000000,1.34138,1.3182,3.21414,22.92448,0.41734,3951000000,1.36241,1.01568,NA,12.3089,7,0.05602,NA,-6.91072,-8.05544,0.05516,0.11074,3890000000,0.41734,0.05851,0.05268,1.01568,0.05516,0,0,0.05851,0.05268
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q1,2017,2017-03-31,FALSE,TRUE,0,0.8557,0.41422,3998000000,1.05811,1.03906,2.77828,21.5109,0.38085,3606000000,1.24732,1.17882,NA,12.6127,6,0.05481,NA,-8.08054,-9.71025,0.0465,0.10494,3059000000,0.38085,0.04919,0.04452,1.17882,0.0465,0,0,0.04919,0.04452
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q4,2016,2016-12-31,FALSE,TRUE,0,0.88114,0.51845,5181000000,1.23525,1.18944,3.05656,20.53921,0.40413,5041000000,1.74913,1.41601,NA,11.96557,8,0.08119,NA,-5.68404,-6.44822,0.05734,0.09743,3560000000,0.40413,0.06014,0.0548,1.41601,0.05734,0,0,0.06014,0.0548
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q3,2016,2016-09-30,FALSE,TRUE,0,0.85922,0.44459,3708000000,0.91257,0.8988,2.44201,18.84883,0.3737,3163000000,1.10171,1.20725,NA,11.68709,8,0.05541,NA,-7.04962,-8.38627,0.0459,0.10273,2620000000,0.3737,0.04842,0.04391,1.20725,0.0459,0,0,0.04842,0.04391
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q2,2016,2016-06-30,FALSE,TRUE,0,0.85752,0.4248,3319000000,0.79692,0.78375,2.2535,17.64111,0.35364,2870000000,1.0049,1.26098,NA,12.21619,8,0.05362,NA,-7.01808,-8.51975,0.04252,0.10631,2276000000,0.35364,0.04517,0.04083,1.26098,0.04252,0,0,0.04517,0.04083
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q1,2016,2016-03-31,FALSE,TRUE,0,0.8443,0.37347,2562000000,0.60922,0.59972,1.89307,16.58459,0.32181,2263000000,0.79599,1.30658,NA,13.16307,7,0.04502,NA,-8.04879,-10.2592,0.03446,0.10445,1732000000,0.32181,0.03673,0.03326,1.30658,0.03446,0,0,0.03673,0.03326
